product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
product_id,category,name,price,article,description,image_path,url,color,sizes,last_update
316705448104,Grade School Shoes,Nike Dunk Low,£ 60.00,316705448104,,data/images/footlocker/products/316705448104,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705448104.html,White-Lt Silver-Phantom,,2025-05-14 01:56:12
316705662704,Grade School Shoes,Nike Dunk Low,£ 35.00,316705662704,,data/images/footlocker/products/316705662704,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705662704.html,White-Redwood-Gym Red,,2025-05-14 01:56:12
316705677504,Grade School Shoes,Nike Dunk Low,£ 69.99,316705677504,,data/images/footlocker/products/316705677504,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705677504.html,White-Vintage Green-White,,2025-05-14 01:56:12
316705788004,Grade School Shoes,Nike Dunk Low,£ 60.00,316705788004,,data/images/footlocker/products/316705788004,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705788004.html,Desert Khaki-Desert Khaki-Pure,,2025-05-14 01:56:12
316706415904,Grade School Shoes,Nike Dunk Low,£ 84.99,316706415904,,data/images/footlocker/products/316706415904,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316706415904.html,College Grey-White,,2025-05-14 01:56:12
316705801104,Grade School Shoes,Nike Dunk Low,£ 75.00,316705801104,,data/images/footlocker/products/316705801104,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705801104.html,White-Midnight Navy-White,,2025-05-14 01:56:12
316477830604,Pre School Shoes,Nike Dunk Low,£ 45.00,316477830604,,data/images/footlocker/products/316477830604,https://www.footlocker.co.uk/en/product/nike-dunk-low-pre-school-shoes/316477830604.html,White-Glacier Blue,,2025-05-14 01:56:12
316160766404,Baby Shoes,Nike Dunk Low,£ 49.99,316160766404,,data/images/footlocker/products/316160766404,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316160766404.html,White-Photon Dust,,2025-05-14 01:56:12
316160135204,Baby Shoes,Nike Dunk Low,£ 44.99,316160135204,,data/images/footlocker/products/316160135204,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316160135204.html,White-Black-White,,2025-05-14 01:56:12
316162924704,Baby Shoes,Nike Dunk Low,£ 58.99,316162924704,,data/images/footlocker/products/316162924704,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316162924704.html,White-Viotech,,2025-05-14 01:56:12
316160900904,Baby Shoes,Nike Dunk Low,£ 58.99,316160900904,,data/images/footlocker/products/316160900904,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316160900904.html,White-Laser Fuchsia,,2025-05-14 01:56:12
316162864504,Baby Shoes,Nike Dunk Low,£ 44.99,316162864504,,data/images/footlocker/products/316162864504,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316162864504.html,White-Midnight Navy-White,,2025-05-14 01:56:12
316160760704,Baby Shoes,Nike Dunk Low,£ 49.99,316160760704,,data/images/footlocker/products/316160760704,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316160760704.html,Light Silver-Sail,,2025-05-14 01:56:12
316705031504,Grade School Shoes,Nike Dunk Low,£ 50.00,316705031504,,data/images/footlocker/products/316705031504,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705031504.html,White-Laser Fuchsia,,2025-05-14 01:56:12
316701620904,Grade School Shoes,Nike Dunk Low,£ 69.99,316701620904,,data/images/footlocker/products/316701620904,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316701620904.html,White-University Blue-White,,2025-05-14 01:56:12
316705254304,Grade School Shoes,Nike Dunk Low,£ 69.99,316705254304,,data/images/footlocker/products/316705254304,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705254304.html,White-Glacier Blue,,2025-05-14 01:56:12
316705238604,Grade School Shoes,Nike Dunk Low,£ 55.00,316705238604,,data/images/footlocker/products/316705238604,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705238604.html,White-Concord-Univ Red,,2025-05-14 01:56:12
316703107504,Grade School Shoes,Nike Dunk Low,£ 69.99,316703107504,,data/images/footlocker/products/316703107504,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316703107504.html,Racer Blue-Racer Blue-White,,2025-05-14 01:56:12
316705802904,Grade School Shoes,Nike Dunk Low,£ 75.00,316705802904,,data/images/footlocker/products/316705802904,https://www.footlocker.co.uk/en/product/nike-dunk-low-grade-school-shoes/316705802904.html,White-Malachite,,2025-05-14 01:56:12
316162200204,Baby Shoes,Nike Dunk Low,£ 35.00,316162200204,,data/images/footlocker/products/316162200204,https://www.footlocker.co.uk/en/product/nike-dunk-low-baby-shoes/316162200204.html,White-Glacier Blue,,2025-05-14 01:56:12
